thread_key,target_name,target_status,target_match_kind,target_match_basis,target_candidate_content_count,target_image_id,target_source_ephysFN,target_source_relpath,target_asset,target_asset_sha256
Alfa-01042021-005#thread000,objects-familiar-10,resolved,normalized exact,validated repeat-source session,1,0ad6ef87b338d5366ed50c91,Alfa-01042021-003,2020-CosineEvol/2021-04-01-Alfa-refRepr/objects-familiar-10.bmp,/targets/0ad6ef87b338d5366ed50c91.webp,923a1b2423db532c038772e2e7908b73d190d112b9c5f8be38da01f972d52182
Alfa-02042021-003#thread000,08-cat-cancer-sq,resolved,normalized exact,validated repeat-source session,1,6908eb175cd960a739108943,Alfa-02042021-002,2020-CosineEvol/2021-04-02-Alfa-refRepr/08-cat-cancer-sq.jpeg,/targets/6908eb175cd960a739108943.webp,88579c45071400795b8210254a9201bb2de0e28cee19d9086ca8a45ee0c902cd
Alfa-02042021-004#thread000,apple_sq,resolved,normalized exact,validated repeat-source session,1,d857abd59d2b91c450c575fe,Alfa-02042021-002,2020-CosineEvol/2021-04-02-Alfa-refRepr/apple_sq.jpg,/targets/d857abd59d2b91c450c575fe.webp,240fbb3e5e94a823fa98ae7c8bd3a0f9137d81f6b7dd36342e37f4a0d4fae35c
Alfa-02042021-005#thread000,apple_sq,resolved,normalized exact,validated repeat-source session,1,d857abd59d2b91c450c575fe,Alfa-02042021-002,2020-CosineEvol/2021-04-02-Alfa-refRepr/apple_sq.jpg,/targets/d857abd59d2b91c450c575fe.webp,240fbb3e5e94a823fa98ae7c8bd3a0f9137d81f6b7dd36342e37f4a0d4fae35c
Alfa-08042021-006#thread000,n03450230_4398,resolved,normalized exact,validated repeat-source session,1,83c54a5edbc2ec7f70238e6e,Alfa-08042021-005,2020-CosineEvol/2021-04-08-Alfa-refRepr/n03450230_4398.JPEG,/targets/83c54a5edbc2ec7f70238e6e.webp,9d380723f0cf8f114e8b3b12f5ebb23bedca044b36aa3996251d0dbd657b53ba
Alfa-08042021-007#thread000,07_face_human_13_sh,resolved,normalized exact,validated repeat-source session,1,5dc9a8fe803210bb64904c3e,Alfa-08042021-005,2020-CosineEvol/2021-04-08-Alfa-refRepr/07_face_human_13_sh.jpg,/targets/5dc9a8fe803210bb64904c3e.webp,e76279ec0a605392896efb174cc7a47ead03e87bd6712e3e622a9141fe07e4f2
Alfa-13042021-003#thread000,P1030838,resolved,normalized exact,validated repeat-source session,1,5fee9537deb3ef290674d514,Alfa-13042021-002,2020-CosineEvol/2021-04-13-Alfa-refRepr/P1030838.bmp,/targets/5fee9537deb3ef290674d514.webp,69b02e0d66d8880108429cb9e5ae443f9acc43bc61bc3a3bc1e4be7fc35c8646
Alfa-13042021-004#thread000,block119_gen_Chan247plants_15_backup_tex.jpg_receptive_field,resolved,normalized exact,validated repeat-source session,1,a18862d9643de5364cbfca82,Alfa-13042021-002,2020-CosineEvol/2021-04-13-Alfa-refRepr/block119_gen_Chan247plants_15_backup_tex.jpg_receptive_field.jpg,/targets/a18862d9643de5364cbfca82.webp,3be60619e5d1ba7a1d6ba1ff0949a6c8b484a2cfdcb01384310c3597637a21bd
Alfa-13042021-005#thread000,block119_gen_Chan247plants_15_backup_tex.jpg_receptive_field,resolved,normalized exact,validated repeat-source session,1,a18862d9643de5364cbfca82,Alfa-13042021-002,2020-CosineEvol/2021-04-13-Alfa-refRepr/block119_gen_Chan247plants_15_backup_tex.jpg_receptive_field.jpg,/targets/a18862d9643de5364cbfca82.webp,3be60619e5d1ba7a1d6ba1ff0949a6c8b484a2cfdcb01384310c3597637a21bd
Alfa-13042021-006#thread000,n03530642_1271,resolved,normalized exact,validated repeat-source session,1,6a6821d02293aee8d225eb28,Alfa-13042021-002,2020-CosineEvol/2021-04-13-Alfa-refRepr/n03530642_1271.bmp,/targets/6a6821d02293aee8d225eb28.webp,6d806ab5a5ec60716afc2980fd962c1614a4f6fcbd69d1389457ac9d032f2fb7
